x,y,z
344,285,285
345,285,285
346,285,285
347,285,285
348,285,285
349,285,285
350,285,285
351,285,285
352,285,285
341,286,285
342,286,285
343,286,285
344,286,285
345,286,285
346,286,285
347,286,285
348,286,285
349,286,285
350,286,285
351,286,285
352,286,285
341,287,285
342,287,285
343,287,285
344,287,285
345,287,285
346,287,285
347,287,285
348,287,285
349,287,285
350,287,285
351,287,285
352,287,285
342,288,285
343,288,285
344,288,285
345,288,285
346,288,285
347,288,285
348,288,285
349,288,285
350,288,285
351,288,285
352,288,285
342,289,285
343,289,285
344,289,285
345,289,285
346,289,285
347,289,285
348,289,285
349,289,285
350,289,285
351,289,285
352,289,285
343,290,285
344,290,285
345,290,285
346,290,285
347,290,285
348,290,285
349,290,285
350,290,285
351,290,285
352,290,285
344,291,285
345,291,285
346,291,285
347,291,285
348,291,285
349,291,285
350,291,285
351,291,285
352,291,285
345,292,285
346,292,285
347,292,285
348,292,285
349,292,285
350,292,285
351,292,285
343,279,286
344,279,286
345,279,286
346,279,286
347,279,286
342,280,286
343,280,286
344,280,286
345,280,286
346,280,286
347,280,286
348,280,286
349,280,286
341,281,286
342,281,286
343,281,286
344,281,286
345,281,286
346,281,286
347,281,286
348,281,286
349,281,286
350,281,286
341,282,286
342,282,286
343,282,286
344,282,286
345,282,286
346,282,286
347,282,286
348,282,286
349,282,286
350,282,286
351,282,286
341,283,286
342,283,286
343,283,286
344,283,286
345,283,286
346,283,286
347,283,286
348,283,286
349,283,286
350,283,286
351,283,286
352,283,286
341,284,286
342,284,286
343,284,286
344,284,286
345,284,286
346,284,286
347,284,286
348,284,286
349,284,286
350,284,286
351,284,286
352,284,286
341,285,286
342,285,286
343,285,286
344,285,286
345,285,286
346,285,286
347,285,286
348,285,286
349,285,286
350,285,286
351,285,286
352,285,286
353,285,286
341,286,286
342,286,286
343,286,286
344,286,286
345,286,286
346,286,286
347,286,286
348,286,286
349,286,286
350,286,286
351,286,286
352,286,286
353,286,286
341,287,286
342,287,286
343,287,286
344,287,286
345,287,286
346,287,286
347,287,286
348,287,286
349,287,286
350,287,286
351,287,286
352,287,286
353,287,286
342,288,286
343,288,286
344,288,286
345,288,286
346,288,286
347,288,286
348,288,286
349,288,286
350,288,286
351,288,286
352,288,286
353,288,286
342,289,286
343,289,286
344,289,286
345,289,286
346,289,286
347,289,286
348,289,286
349,289,286
350,289,286
351,289,286
352,289,286
353,289,286
343,290,286
344,290,286
345,290,286
346,290,286
347,290,286
348,290,286
349,290,286
350,290,286
351,290,286
352,290,286
353,290,286
344,291,286
345,291,286
346,291,286
347,291,286
348,291,286
349,291,286
350,291,286
351,291,286
352,291,286
353,291,286
345,292,286
346,292,286
347,292,286
348,292,286
349,292,286
350,292,286
351,292,286
352,292,286
353,292,286
346,293,286
347,293,286
348,293,286
349,293,286
350,293,286
351,293,286
352,293,286
345,279,287
346,279,287
343,280,287
344,280,287
345,280,287
346,280,287
347,280,287
348,280,287
349,280,287
342,281,287
343,281,287
344,281,287
345,281,287
346,281,287
347,281,287
348,281,287
349,281,287
350,281,287
341,282,287
342,282,287
343,282,287
344,282,287
345,282,287
346,282,287
347,282,287
348,282,287
349,282,287
350,282,287
351,282,287
341,283,287
342,283,287
343,283,287
344,283,287
345,283,287
346,283,287
347,283,287
348,283,287
349,283,287
350,283,287
351,283,287
352,283,287
341,284,287
342,284,287
343,284,287
344,284,287
345,284,287
346,284,287
347,284,287
348,284,287
349,284,287
350,284,287
351,284,287
352,284,287
353,284,287
341,285,287
342,285,287
343,285,287
344,285,287
345,285,287
