Time Stamp,Region ID,Filtered,RSS,CL1,CL2,CL3,Red Info,GSS,RP1H,RP1L,EDR,Green R^2,Green Info,VSS,RP2H,RP2L,Violet Spare1,Violet R^2,Violet Info,Bead Info
935519526,102,0,10963.35938,60.42969,93.35156,154.98438,0,1859.56641,23382.52734,79001.58594,540764.1875,0,1,3972.32422,8.13281,16.98047,0,0,0,0
935527700,71,0,12404.44922,60.95703,4893.39063,2187.41797,0,1233.08203,25151.44727,201517.2344,1331206.5,0,1,3716.83203,4.16406,6.10938,0,0,0,0
935529687,22,0,11164.65234,1317.3125,215.13281,60.4375,0,1052.28906,27.12305,26.54883,59384.8125,0,0,3579.60547,205.57813,209.20117,0,0,0,0
935536858,96,0,12936.45313,2452.29297,13172.37891,6727.14453,0,1063.39844,8.91602,15.22852,41267.04688,0,0,3351.09766,33.66992,36.74609,0,0,0,0
935541230,378,0,14083.63672,1232.21094,365.07422,369.38281,0,948.03125,1119.57813,1118.7793,5574.2251,0,0,3626.05078,16537.5918,16914.52344,0,0,1,0
935558157,352,0,14453.08594,667.35156,1285.98438,2539.12109,0,959.47656,9055.52344,9056.42969,43643.29688,0,0,3210.3125,4.95313,8.13086,0,0,0,0
935560619,374,0,11323.91406,669.62891,1704.50781,8769.21875,0,1721.27734,191.17383,189.16602,70315.5625,0,0,3951.34766,1.12305,0,0,0,0,0
935561408,153,0,16104.75,66.70313,5285.875,9935.73828,0,1151.48047,8.61719,3.81836,0,0,0,3334.5,1813.69141,1820.2793,0,0,0,0
935569903,374,0,11406.875,696.02734,1773.99219,9181.19922,0,1060.15625,185.23438,183.55078,0,0,0,4026.28516,5.91211,5.75,0,0,0,0
935578613,96,0,13304.05469,2368.10938,13345.89844,6613.87109,0,1058.33984,1.63086,4.17773,0,0,0,4309.51563,33.22852,37.10547,0,0,0,0
935589168,153,0,11530.03906,51.64844,4293.92188,9595.37891,0,881.48047,12.13672,9.29883,0,0,0,3003.77344,1525.08984,1527.61328,0,0,0,0
935590264,153,0,9075.94141,56.66797,4084.48047,7570.67969,0,1302.43359,19.57813,13.56641,20892.61133,0,0,2915.06641,1275.20898,1285.125,0,0,0,0
935602689,71,0,15693.51953,63.42578,5241.26953,2306.54688,0,1004.44531,24552.84766,207715.2031,1348404.375,0,1,2783.82813,5.49219,6.06445,0,0,0,0
935603993,374,0,10730.5,703.85938,1765.64844,8851.90234,0,1047.77734,163.45508,171.91602,3989.0354,0,0,3868.42578,10.53711,6.51367,0,0,0,0
935607269,96,0,10693.0625,2303.73047,12513.22266,6114.42969,0,1109.98047,9.82227,9.6582,10188.75098,0,0,3614.23828,26.04688,22.68555,0,0,0,0
935611424,81,0,10538.41016,22836.57813,5332.72266,1722.20703,0,1457.72656,48.65039,46.71875,4130.07764,0,0,3887.41016,20780.7832,26991.30859,0,0,1,0
935612183,96,0,13107.26172,2591.74219,14060.65625,7124.32422,0,1312.03516,9.14648,6.64844,31709.91992,0,0,3706.10547,32.22852,37.64453,0,0,0,0
935618232,153,0,9577.13281,51.82031,4269.74219,7948.77734,0,1103.98438,3.74609,5.3457,25970.12305,0,0,3105.41406,1493.12695,1495.26953,0,0,0,0
