x,y,z
312,355,436
313,355,436
311,356,436
312,356,436
313,356,436
314,356,436
312,357,436
313,357,436
314,357,436
315,357,436
312,358,436
313,358,436
314,358,436
315,358,436
313,359,436
314,359,436
315,359,436
312,354,437
313,354,437
314,354,437
311,355,437
312,355,437
313,355,437
314,355,437
315,355,437
311,356,437
312,356,437
313,356,437
314,356,437
315,356,437
316,356,437
311,357,437
312,357,437
313,357,437
314,357,437
315,357,437
316,357,437
317,357,437
311,358,437
312,358,437
313,358,437
314,358,437
315,358,437
316,358,437
317,358,437
312,359,437
313,359,437
314,359,437
315,359,437
316,359,437
317,359,437
312,360,437
313,360,437
314,360,437
315,360,437
316,360,437
317,360,437
318,360,437
313,361,437
314,361,437
315,361,437
316,361,437
317,361,437
316,362,437
311,354,438
312,354,438
313,354,438
314,354,438
315,354,438
310,355,438
311,355,438
312,355,438
313,355,438
314,355,438
315,355,438
316,355,438
310,356,438
311,356,438
312,356,438
313,356,438
314,356,438
315,356,438
316,356,438
317,356,438
310,357,438
311,357,438
312,357,438
313,357,438
314,357,438
315,357,438
316,357,438
317,357,438
318,357,438
311,358,438
312,358,438
313,358,438
314,358,438
315,358,438
316,358,438
317,358,438
318,358,438
311,359,438
312,359,438
313,359,438
314,359,438
315,359,438
316,359,438
317,359,438
318,359,438
319,359,438
312,360,438
313,360,438
314,360,438
315,360,438
316,360,438
317,360,438
318,360,438
319,360,438
312,361,438
313,361,438
314,361,438
315,361,438
316,361,438
317,361,438
318,361,438
319,361,438
313,362,438
314,362,438
315,362,438
316,362,438
317,362,438
318,362,438
319,362,438
315,363,438
316,363,438
317,363,438
318,363,438
319,363,438
313,353,439
311,354,439
312,354,439
313,354,439
314,354,439
315,354,439
316,354,439
310,355,439
311,355,439
312,355,439
313,355,439
314,355,439
315,355,439
316,355,439
317,355,439
310,356,439
311,356,439
312,356,439
313,356,439
314,356,439
315,356,439
316,356,439
317,356,439
318,356,439
310,357,439
311,357,439
312,357,439
313,357,439
314,357,439
315,357,439
316,357,439
317,357,439
318,357,439
319,357,439
311,358,439
312,358,439
313,358,439
314,358,439
315,358,439
316,358,439
317,358,439
318,358,439
319,358,439
320,358,439
311,359,439
312,359,439
313,359,439
314,359,439
315,359,439
316,359,439
317,359,439
318,359,439
319,359,439
320,359,439
311,360,439
312,360,439
313,360,439
314,360,439
315,360,439
316,360,439
317,360,439
318,360,439
319,360,439
320,360,439
312,361,439
313,361,439
314,361,439
315,361,439
316,361,439
317,361,439
318,361,439
319,361,439
320,361,439
321,361,439
313,362,439
314,362,439
315,362,439
316,362,439
317,362,439
318,362,439
319,362,439
320,362,439
321,362,439
314,363,439
315,363,439
316,363,439
317,363,439
318,363,439
319,363,439
320,363,439
315,364,439
316,364,439
317,364,439
318,364,439
319,364,439
320,364,439
318,365,439
313,353,440
314,353,440
311,354,440
312,354,440
313,354,440
314,354,440
315,354,440
316,354,440
311,355,440
312,355,440
313,355,440
314,355,440
315,355,440
316,355,440
317,355,440
318,355,440
310,356,440
311,356,440
312,356,440
313,356,440
314,356,440
315,356,440
316,356,440
317,356,440
318,356,440
319,356,440
310,357,440
311,357,440
312,357,440
313,357,440
314,357,440
315,357,440
316,357,440
317,357,440
318,357,440
319,357,440
320,357,440
311,358,440
312,358,440
313,358,440
314,358,440
315,358,440
316,358,440
317,358,440
318,358,440
319,358,440
320,358,440
311,359,440
312,359,440
313,359,440
314,359,440
315,359,440
316,359,440
317,359,440
318,359,440
319,359,440
320,359,440
321,359,440
311,360,440
312,360,440
313,360,440
314,360,440
315,360,440
316,360,440
317,360,440
318,360,440
319,360,440
320,360,440
321,360,440
312,361,440
313,361,440
314,361,440
315,361,440
316,361,440
317,361,440
318,361,440
319,361,440
320,361,440
321,361,440
322,361,440
312,362,440
313,362,440
314,362,440
315,362,440
316,362,440
317,362,440
318,362,440
319,362,440
320,362,440
321,362,440
322,362,440
313,363,440
314,363,440
315,363,440
316,363,440
317,363,440
318,363,440
319,363,440
320,363,440
321,363,440
322,363,440
314,364,440
315,364,440
316,364,440
317,364,440
318,364,440
319,364,440
320,364,440
321,364,440
316,365,440
317,365,440
318,365,440
319,365,440
320,365,440
321,365,440
318,366,440
319,366,440
320,366,440
311,354,441
312,354,441
313,354,441
314,354,441
315,354,441
316,354,441
317,354,441
311,355,441
312,355,441
313,355,441
314,355,441
315,355,441
316,355,441
317,355,441
318,355,441
311,356,441
312,356,441
313,356,441
314,356,441
315,356,441
316,356,441
317,356,441
318,356,441
319,356,441
311,357,441
312,357,441
313,357,441
314,357,441
315,357,441
316,357,441
317,357,441
318,357,441
319,357,441
320,357,441
311,358,441
312,358,441
313,358,441
314,358,441
315,358,441
316,358,441
317,358,441
318,358,441
319,358,441
320,358,441
321,358,441
311,359,441
312,359,441
313,359,441
314,359,441
315,359,441
316,359,441
317,359,441
318,359,441
319,359,441
320,359,441
321,359,441
322,359,441
311,360,441
312,360,441
313,360,441
314,360,441
315,360,441
316,360,441
317,360,441
318,360,441
319,360,441
320,360,441
321,360,441
322,360,441
312,361,441
313,361,441
314,361,441
315,361,441
316,361,441
317,361,441
318,361,441
319,361,441
320,361,441
321,361,441
322,361,441
323,361,441
312,362,441
313,362,441
314,362,441
315,362,441
316,362,441
317,362,441
318,362,441
319,362,441
320,362,441
321,362,441
322,362,441
323,362,441
313,363,441
314,363,441
315,363,441
316,363,441
317,363,441
318,363,441
319,363,441
320,363,441
321,363,441
322,363,441
323,363,441
314,364,441
315,364,441
316,364,441
317,364,441
318,364,441
319,364,441
320,364,441
321,364,441
322,364,441
323,364,441
315,365,441
316,365,441
317,365,441
318,365,441
319,365,441
320,365,441
321,365,441
322,365,441
323,365,441
316,366,441
317,366,441
318,366,441
319,366,441
320,366,441
321,366,441
322,366,441
318,367,441
319,367,441
320,367,441
321,367,441
312,354,442
313,354,442
314,354,442
315,354,442
316,354,442
317,354,442
311,355,442
312,355,442
313,355,442
314,355,442
315,355,442
316,355,442
317,355,442
318,355,442
319,355,442
311,356,442
312,356,442
313,356,442
314,356,442
315,356,442
316,356,442
317,356,442
318,356,442
319,356,442
320,356,442
311,357,442
312,357,442
313,357,442
314,357,442
315,357,442
316,357,442
317,357,442
318,357,442
319,357,442
320,357,442
321,357,442
311,358,442
312,358,442
313,358,442
314,358,442
315,358,442
316,358,442
317,358,442
318,358,442
319,358,442
320,358,442
321,358,442
322,358,442
311,359,442
312,359,442
313,359,442
314,359,442
315,359,442
316,359,442
317,359,442
318,359,442
319,359,442
320,359,442
321,359,442
322,359,442
311,360,442
312,360,442
313,360,442
314,360,442
315,360,442
316,360,442
317,360,442
318,360,442
319,360,442
320,360,442
321,360,442
322,360,442
323,360,442
312,361,442
313,361,442
314,361,442
315,361,442
316,361,442
317,361,442
318,361,442
319,361,442
320,361,442
321,361,442
322,361,442
323,361,442
312,362,442
313,362,442
314,362,442
315,362,442
316,362,442
317,362,442
318,362,442
319,362,442
320,362,442
321,362,442
322,362,442
323,362,442
313,363,442
314,363,442
315,363,442
316,363,442
317,363,442
318,363,442
319,363,442
320,363,442
321,363,442
322,363,442
323,363,442
324,363,442
314,364,442
315,364,442
316,364,442
317,364,442
318,364,442
319,364,442
320,364,442
321,364,442
322,364,442
323,364,442
324,364,442
314,365,442
315,365,442
316,365,442
317,365,442
318,365,442
319,365,442
320,365,442
321,365,442
322,365,442
323,365,442
324,365,442
316,366,442
317,366,442
318,366,442
319,366,442
320,366,442
321,366,442
322,366,442
323,366,442
324,366,442
317,367,442
318,367,442
319,367,442
320,367,442
321,367,442
322,367,442
323,367,442
319,368,442
320,368,442
321,368,442
313,354,443
314,354,443
315,354,443
316,354,443
317,354,443
312,355,443
313,355,443
314,355,443
315,355,443
