x,y,z
456,432,436
457,432,436
458,432,436
456,433,436
457,433,436
458,433,436
459,433,436
456,434,436
457,434,436
458,434,436
459,434,436
456,435,436
457,435,436
458,435,436
459,435,436
458,436,436
459,436,436
456,431,437
457,431,437
458,431,437
455,432,437
456,432,437
457,432,437
458,432,437
459,432,437
460,432,437
455,433,437
456,433,437
457,433,437
458,433,437
459,433,437
460,433,437
455,434,437
456,434,437
457,434,437
458,434,437
459,434,437
460,434,437
461,434,437
456,435,437
457,435,437
458,435,437
459,435,437
460,435,437
461,435,437
456,436,437
457,436,437
458,436,437
459,436,437
460,436,437
461,436,437
457,437,437
458,437,437
459,437,437
460,437,437
461,437,437
458,438,437
459,438,437
460,438,437
457,430,438
456,431,438
457,431,438
458,431,438
459,431,438
460,431,438
455,432,438
456,432,438
457,432,438
458,432,438
459,432,438
460,432,438
461,432,438
455,433,438
456,433,438
457,433,438
458,433,438
459,433,438
460,433,438
461,433,438
455,434,438
456,434,438
457,434,438
458,434,438
459,434,438
460,434,438
461,434,438
462,434,438
455,435,438
456,435,438
457,435,438
458,435,438
459,435,438
460,435,438
461,435,438
462,435,438
455,436,438
456,436,438
457,436,438
458,436,438
459,436,438
460,436,438
461,436,438
462,436,438
463,436,438
456,437,438
457,437,438
458,437,438
459,437,438
460,437,438
461,437,438
462,437,438
457,438,438
458,438,438
459,438,438
460,438,438
461,438,438
462,438,438
457,439,438
458,439,438
459,439,438
460,439,438
461,439,438
462,439,438
459,440,438
460,440,438
461,440,438
457,430,439
458,430,439
456,431,439
457,431,439
458,431,439
459,431,439
460,431,439
455,432,439
456,432,439
457,432,439
458,432,439
459,432,439
460,432,439
461,432,439
455,433,439
456,433,439
457,433,439
458,433,439
459,433,439
460,433,439
461,433,439
462,433,439
455,434,439
456,434,439
457,434,439
458,434,439
459,434,439
460,434,439
461,434,439
462,434,439
463,434,439
455,435,439
456,435,439
457,435,439
458,435,439
459,435,439
460,435,439
461,435,439
462,435,439
463,435,439
455,436,439
456,436,439
457,436,439
458,436,439
459,436,439
460,436,439
461,436,439
462,436,439
463,436,439
464,436,439
455,437,439
456,437,439
457,437,439
458,437,439
459,437,439
460,437,439
461,437,439
462,437,439
463,437,439
464,437,439
456,438,439
457,438,439
458,438,439
459,438,439
460,438,439
461,438,439
462,438,439
463,438,439
464,438,439
457,439,439
458,439,439
459,439,439
460,439,439
461,439,439
462,439,439
463,439,439
464,439,439
457,440,439
458,440,439
459,440,439
460,440,439
461,440,439
462,440,439
463,440,439
459,441,439
460,441,439
461,441,439
462,441,439
463,441,439
458,430,440
459,430,440
456,431,440
457,431,440
458,431,440
459,431,440
460,431,440
461,431,440
455,432,440
456,432,440
457,432,440
458,432,440
459,432,440
460,432,440
461,432,440
462,432,440
455,433,440
456,433,440
457,433,440
458,433,440
459,433,440
460,433,440
461,433,440
462,433,440
463,433,440
455,434,440
456,434,440
457,434,440
458,434,440
459,434,440
460,434,440
461,434,440
462,434,440
463,434,440
464,434,440
455,435,440
456,435,440
457,435,440
458,435,440
459,435,440
460,435,440
461,435,440
462,435,440
463,435,440
464,435,440
455,436,440
456,436,440
457,436,440
458,436,440
459,436,440
460,436,440
461,436,440
462,436,440
463,436,440
464,436,440
455,437,440
456,437,440
457,437,440
458,437,440
459,437,440
460,437,440
461,437,440
462,437,440
463,437,440
464,437,440
465,437,440
456,438,440
457,438,440
458,438,440
459,438,440
460,438,440
461,438,440
462,438,440
463,438,440
464,438,440
465,438,440
456,439,440
457,439,440
458,439,440
459,439,440
460,439,440
461,439,440
462,439,440
463,439,440
464,439,440
465,439,440
457,440,440
458,440,440
459,440,440
460,440,440
461,440,440
462,440,440
463,440,440
464,440,440
465,440,440
458,441,440
459,441,440
460,441,440
461,441,440
462,441,440
463,441,440
464,441,440
459,442,440
460,442,440
461,442,440
462,442,440
463,442,440
464,442,440
461,443,440
456,431,441
457,431,441
458,431,441
459,431,441
460,431,441
461,431,441
456,432,441
457,432,441
458,432,441
459,432,441
460,432,441
461,432,441
462,432,441
455,433,441
456,433,441
457,433,441
458,433,441
459,433,441
460,433,441
461,433,441
462,433,441
463,433,441
455,434,441
456,434,441
457,434,441
458,434,441
459,434,441
460,434,441
461,434,441
462,434,441
463,434,441
464,434,441
455,435,441
456,435,441
457,435,441
458,435,441
459,435,441
460,435,441
461,435,441
462,435,441
463,435,441
464,435,441
465,435,441
455,436,441
456,436,441
457,436,441
458,436,441
459,436,441
460,436,441
461,436,441
462,436,441
463,436,441
464,436,441
465,436,441
455,437,441
456,437,441
457,437,441
458,437,441
459,437,441
460,437,441
461,437,441
462,437,441
463,437,441
464,437,441
465,437,441
456,438,441
457,438,441
458,438,441
459,438,441
460,438,441
461,438,441
462,438,441
463,438,441
464,438,441
465,438,441
466,438,441
456,439,441
457,439,441
458,439,441
459,439,441
460,439,441
461,439,441
462,439,441
463,439,441
464,439,441
465,439,441
466,439,441
457,440,441
458,440,441
459,440,441
460,440,441
461,440,441
462,440,441
463,440,441
464,440,441
465,440,441
466,440,441
457,441,441
458,441,441
459,441,441
460,441,441
461,441,441
462,441,441
463,441,441
464,441,441
465,441,441
466,441,441
458,442,441
459,442,441
460,442,441
461,442,441
462,442,441
463,442,441
464,442,441
465,442,441
459,443,441
460,443,441
461,443,441
462,443,441
463,443,441
464,443,441
462,444,441
463,444,441
457,431,442
458,431,442
459,431,442
460,431,442
461,431,442
456,432,442
457,432,442
458,432,442
459,432,442
460,432,442
461,432,442
462,432,442
463,432,442
456,433,442
457,433,442
458,433,442
459,433,442
460,433,442
461,433,442
462,433,442
463,433,442
464,433,442
456,434,442
457,434,442
458,434,442
459,434,442
460,434,442
461,434,442
462,434,442
463,434,442
464,434,442
465,434,442
455,435,442
456,435,442
457,435,442
458,435,442
459,435,442
460,435,442
461,435,442
462,435,442
463,435,442
464,435,442
465,435,442
455,436,442
456,436,442
457,436,442
458,436,442
459,436,442
460,436,442
461,436,442
462,436,442
463,436,442
464,436,442
465,436,442
466,436,442
456,437,442
457,437,442
458,437,442
459,437,442
460,437,442
461,437,442
462,437,442
463,437,442
464,437,442
465,437,442
466,437,442
456,438,442
457,438,442
458,438,442
459,438,442
460,438,442
461,438,442
462,438,442
463,438,442
464,438,442
465,438,442
466,438,442
456,439,442
457,439,442
458,439,442
459,439,442
460,439,442
461,439,442
462,439,442
463,439,442
464,439,442
465,439,442
466,439,442
457,440,442
458,440,442
459,440,442
460,440,442
461,440,442
462,440,442
463,440,442
464,440,442
465,440,442
466,440,442
467,440,442
457,441,442
458,441,442
459,441,442
460,441,442
461,441,442
462,441,442
463,441,442
464,441,442
465,441,442
466,441,442
467,441,442
458,442,442
459,442,442
460,442,442
461,442,442
462,442,442
463,442,442
464,442,442
465,442,442
466,442,442
459,443,442
460,443,442
461,443,442
462,443,442
463,443,442
464,443,442
465,443,442
466,443,442
460,444,442
461,444,442
462,444,442
463,444,442
464,444,442
465,444,442
466,444,442
462,445,442
463,445,442
464,445,442
458,431,443
459,431,443
460,431,443
461,431,443
457,432,443
458,432,443
459,432,443
460,432,443
461,432,443
462,432,443
463,432,443
456,433,443
457,433,443
458,433,443
459,433,443
460,433,443
461,433,443
462,433,443
463,433,443
464,433,443
456,434,443
457,434,443
458,434,443
459,434,443
460,434,443
461,434,443
462,434,443
463,434,443
464,434,443
465,434,443
456,435,443
457,435,443
458,435,443
459,435,443
460,435,443
461,435,443
462,435,443
463,435,443
464,435,443
465,435,443
466,435,443
456,436,443
457,436,443
458,436,443
459,436,443
460,436,443
461,436,443
462,436,443
463,436,443
464,436,443
465,436,443
466,436,443
456,437,443
457,437,443
458,437,443
459,437,443
460,437,443
461,437,443
462,437,443
463,437,443
464,437,443
465,437,443
466,437,443
467,437,443
456,438,443
457,438,443
458,438,443
459,438,443
460,438,443
461,438,443
462,438,443
463,438,443
464,438,443
465,438,443
466,438,443
467,438,443
456,439,443
457,439,443
458,439,443
459,439,443
460,439,443
461,439,443
462,439,443
463,439,443
464,439,443
465,439,443
466,439,443
467,439,443
457,440,443
458,440,443
459,440,443
460,440,443
461,440,443
462,440,443
463,440,443
464,440,443
465,440,443
466,440,443
467,440,443
457,441,443
458,441,443
459,441,443
460,441,443
461,441,443
462,441,443
463,441,443
464,441,443
465,441,443
466,441,443
467,441,443
458,442,443
459,442,443
460,442,443
461,442,443
462,442,443
463,442,443
464,442,443
465,442,443
466,442,443
467,442,443
458,443,443
459,443,443
460,443,443
461,443,443
462,443,443
463,443,443
464,443,443
465,443,443
466,443,443
467,443,443
460,444,443
461,444,443
462,444,443
463,444,443
464,444,443
465,444,443
466,444,443
467,444,443
461,445,443
462,445,443
463,445,443
464,445,443
465,445,443
466,445,443
463,446,443
464,446,443
458,432,444
459,432,444
460,432,444
461,432,444
462,432,444
463,432,444
457,433,444
458,433,444
459,433,444
460,433,444
461,433,444
462,433,444
463,433,444
464,433,444
456,434,444
457,434,444
458,434,444
459,434,444
460,434,444
461,434,444
462,434,444
463,434,444
464,434,444
465,434,444
456,435,444
457,435,444
458,435,444
459,435,444
460,435,444
461,435,444
462,435,444
463,435,444
464,435,444
465,435,444
466,435,444
456,436,444
457,436,444
458,436,444
459,436,444
460,436,444
461,436,444
462,436,444
463,436,444
464,436,444
465,436,444
466,436,444
467,436,444
456,437,444
457,437,444
458,437,444
459,437,444
460,437,444
461,437,444
462,437,444
463,437,444
464,437,444
465,437,444
466,437,444
467,437,444
456,438,444
457,438,444
458,438,444
459,438,444
460,438,444
461,438,444
462,438,444
463,438,444
464,438,444
465,438,444
466,438,444
467,438,444
468,438,444
457,439,444
458,439,444
459,439,444
460,439,444
461,439,444
462,439,444
463,439,444
464,439,444
465,439,444
466,439,444
467,439,444
468,439,444
457,440,444
458,440,444
459,440,444
460,440,444
461,440,444
462,440,444
463,440,444
464,440,444
465,440,444
466,440,444
467,440,444
468,440,444
457,441,444
458,441,444
459,441,444
460,441,444
461,441,444
462,441,444
463,441,444
464,441,444
465,441,444
466,441,444
467,441,444
468,441,444
458,442,444
459,442,444
460,442,444
461,442,444
462,442,444
463,442,444
464,442,444
465,442,444
466,442,444
467,442,444
468,442,444
458,443,444
459,443,444
460,443,444
461,443,444
462,443,444
463,443,444
464,443,444
465,443,444
466,443,444
467,443,444
468,443,444
459,444,444
460,444,444
461,444,444
462,444,444
463,444,444
464,444,444
465,444,444
466,444,444
467,444,444
468,444,444
460,445,444
461,445,444
462,445,444
463,445,444
464,445,444
465,445,444
466,445,444
467,445,444
461,446,444
462,446,444
463,446,444
464,446,444
465,446,444
466,446,444
467,446,444
464,447,444
465,447,444
459,432,445
460,432,445
461,432,445
462,432,445
458,433,445
459,433,445
