x,y,z
190,215,235
191,215,235
192,215,235
192,216,235
190,212,236
191,212,236
189,213,236
190,213,236
191,213,236
192,213,236
193,213,236
189,214,236
190,214,236
191,214,236
192,214,236
193,214,236
194,214,236
188,215,236
189,215,236
190,215,236
191,215,236
192,215,236
193,215,236
194,215,236
195,215,236
189,216,236
190,216,236
191,216,236
192,216,236
193,216,236
194,216,236
195,216,236
189,217,236
190,217,236
191,217,236
192,217,236
193,217,236
194,217,236
195,217,236
196,217,236
191,218,236
192,218,236
193,218,236
194,218,236
195,218,236
196,218,236
192,219,236
193,219,236
194,219,236
195,219,236
189,212,237
190,212,237
191,212,237
192,212,237
193,212,237
188,213,237
189,213,237
190,213,237
191,213,237
192,213,237
193,213,237
194,213,237
195,213,237
188,214,237
189,214,237
190,214,237
191,214,237
192,214,237
193,214,237
194,214,237
195,214,237
196,214,237
188,215,237
189,215,237
190,215,237
191,215,237
192,215,237
193,215,237
194,215,237
195,215,237
196,215,237
188,216,237
189,216,237
190,216,237
191,216,237
192,216,237
193,216,237
194,216,237
195,216,237
196,216,237
197,216,237
189,217,237
190,217,237
191,217,237
192,217,237
193,217,237
194,217,237
195,217,237
196,217,237
197,217,237
189,218,237
190,218,237
191,218,237
192,218,237
193,218,237
194,218,237
195,218,237
196,218,237
197,218,237
198,218,237
190,219,237
191,219,237
192,219,237
193,219,237
194,219,237
195,219,237
196,219,237
197,219,237
198,219,237
191,220,237
192,220,237
193,220,237
194,220,237
195,220,237
196,220,237
197,220,237
194,221,237
195,221,237
196,221,237
197,221,237
190,211,238
191,211,238
192,211,238
188,212,238
189,212,238
190,212,238
191,212,238
192,212,238
193,212,238
194,212,238
195,212,238
188,213,238
189,213,238
190,213,238
191,213,238
192,213,238
193,213,238
194,213,238
195,213,238
196,213,238
188,214,238
189,214,238
190,214,238
191,214,238
192,214,238
193,214,238
194,214,238
195,214,238
196,214,238
197,214,238
188,215,238
189,215,238
190,215,238
191,215,238
192,215,238
193,215,238
194,215,238
195,215,238
196,215,238
197,215,238
198,215,238
188,216,238
189,216,238
190,216,238
191,216,238
192,216,238
193,216,238
194,216,238
195,216,238
196,216,238
197,216,238
198,216,238
188,217,238
189,217,238
190,217,238
191,217,238
192,217,238
193,217,238
194,217,238
195,217,238
196,217,238
197,217,238
198,217,238
199,217,238
189,218,238
190,218,238
191,218,238
192,218,238
193,218,238
194,218,238
195,218,238
196,218,238
197,218,238
198,218,238
199,218,238
189,219,238
190,219,238
191,219,238
192,219,238
193,219,238
194,219,238
195,219,238
196,219,238
197,219,238
198,219,238
199,219,238
190,220,238
191,220,238
192,220,238
193,220,238
194,220,238
195,220,238
196,220,238
197,220,238
198,220,238
199,220,238
191,221,238
192,221,238
193,221,238
194,221,238
195,221,238
196,221,238
197,221,238
198,221,238
199,221,238
193,222,238
194,222,238
195,222,238
196,222,238
197,222,238
198,222,238
190,211,239
191,211,239
192,211,239
193,211,239
188,212,239
189,212,239
190,212,239
191,212,239
192,212,239
193,212,239
194,212,239
195,212,239
188,213,239
189,213,239
190,213,239
191,213,239
192,213,239
193,213,239
194,213,239
195,213,239
196,213,239
197,213,239
188,214,239
189,214,239
190,214,239
191,214,239
192,214,239
193,214,239
194,214,239
195,214,239
196,214,239
197,214,239
198,214,239
188,215,239
189,215,239
190,215,239
191,215,239
192,215,239
193,215,239
194,215,239
195,215,239
196,215,239
197,215,239
198,215,239
199,215,239
188,216,239
189,216,239
190,216,239
191,216,239
192,216,239
193,216,239
194,216,239
195,216,239
196,216,239
197,216,239
198,216,239
199,216,239
188,217,239
189,217,239
190,217,239
191,217,239
192,217,239
193,217,239
194,217,239
195,217,239
196,217,239
197,217,239
198,217,239
199,217,239
200,217,239
188,218,239
189,218,239
190,218,239
191,218,239
192,218,239
193,218,239
194,218,239
195,218,239
196,218,239
197,218,239
198,218,239
199,218,239
200,218,239
189,219,239
190,219,239
191,219,239
192,219,239
193,219,239
194,219,239
195,219,239
196,219,239
197,219,239
198,219,239
199,219,239
200,219,239
201,219,239
190,220,239
191,220,239
192,220,239
193,220,239
194,220,239
195,220,239
196,220,239
197,220,239
198,220,239
199,220,239
200,220,239
201,220,239
190,221,239
191,221,239
192,221,239
193,221,239
194,221,239
195,221,239
196,221,239
197,221,239
198,221,239
199,221,239
200,221,239
201,221,239
192,222,239
193,222,239
194,222,239
195,222,239
196,222,239
197,222,239
198,222,239
199,222,239
200,222,239
193,223,239
194,223,239
195,223,239
196,223,239
197,223,239
198,223,239
199,223,239
196,224,239
197,224,239
198,224,239
191,211,240
192,211,240
193,211,240
189,212,240
190,212,240
191,212,240
192,212,240
193,212,240
194,212,240
195,212,240
188,213,240
189,213,240
190,213,240
191,213,240
192,213,240
193,213,240
194,213,240
195,213,240
196,213,240
197,213,240
188,214,240
189,214,240
190,214,240
191,214,240
192,214,240
193,214,240
194,214,240
195,214,240
196,214,240
197,214,240
198,214,240
188,215,240
189,215,240
190,215,240
191,215,240
192,215,240
193,215,240
194,215,240
195,215,240
196,215,240
197,215,240
198,215,240
199,215,240
188,216,240
189,216,240
190,216,240
191,216,240
192,216,240
193,216,240
194,216,240
195,216,240
196,216,240
197,216,240
198,216,240
199,216,240
200,216,240
188,217,240
189,217,240
190,217,240
191,217,240
192,217,240
193,217,240
194,217,240
195,217,240
196,217,240
197,217,240
198,217,240
199,217,240
200,217,240
201,217,240
188,218,240
189,218,240
190,218,240
191,218,240
192,218,240
193,218,240
194,218,240
195,218,240
196,218,240
197,218,240
198,218,240
199,218,240
200,218,240
201,218,240
189,219,240
190,219,240
191,219,240
192,219,240
193,219,240
194,219,240
195,219,240
196,219,240
197,219,240
198,219,240
199,219,240
200,219,240
201,219,240
202,219,240
189,220,240
190,220,240
191,220,240
192,220,240
193,220,240
194,220,240
195,220,240
196,220,240
197,220,240
198,220,240
199,220,240
200,220,240
201,220,240
202,220,240
190,221,240
191,221,240
192,221,240
193,221,240
194,221,240
195,221,240
196,221,240
197,221,240
198,221,240
199,221,240
200,221,240
201,221,240
202,221,240
191,222,240
192,222,240
193,222,240
194,222,240
195,222,240
196,222,240
197,222,240
198,222,240
199,222,240
200,222,240
201,222,240
202,222,240
192,223,240
193,223,240
194,223,240
195,223,240
196,223,240
197,223,240
198,223,240
199,223,240
200,223,240
201,223,240
194,224,240
195,224,240
196,224,240
197,224,240
198,224,240
199,224,240
200,224,240
201,224,240
197,225,240
198,225,240
199,225,240
200,225,240
192,211,241
189,212,241
190,212,241
191,212,241
192,212,241
193,212,241
194,212,241
195,212,241
196,212,241
188,213,241
189,213,241
190,213,241
191,213,241
192,213,241
193,213,241
194,213,241
195,213,241
196,213,241
197,213,241
198,213,241
188,214,241
189,214,241
190,214,241
191,214,241
192,214,241
193,214,241
194,214,241
195,214,241
196,214,241
197,214,241
198,214,241
199,214,241
188,215,241
189,215,241
190,215,241
191,215,241
192,215,241
193,215,241
194,215,241
195,215,241
196,215,241
197,215,241
198,215,241
199,215,241
200,215,241
188,216,241
189,216,241
190,216,241
191,216,241
192,216,241
193,216,241
194,216,241
195,216,241
196,216,241
197,216,241
198,216,241
199,216,241
200,216,241
201,216,241
188,217,241
189,217,241
190,217,241
191,217,241
192,217,241
193,217,241
194,217,241
195,217,241
196,217,241
197,217,241
198,217,241
199,217,241
200,217,241
201,217,241
188,218,241
189,218,241
190,218,241
191,218,241
192,218,241
193,218,241
194,218,241
195,218,241
196,218,241
197,218,241
198,218,241
199,218,241
200,218,241
201,218,241
202,218,241
189,219,241
190,219,241
191,219,241
192,219,241
193,219,241
194,219,241
195,219,241
196,219,241
197,219,241
198,219,241
199,219,241
200,219,241
201,219,241
202,219,241
189,220,241
190,220,241
191,220,241
192,220,241
193,220,241
194,220,241
195,220,241
196,220,241
197,220,241
198,220,241
199,220,241
200,220,241
201,220,241
202,220,241
203,220,241
190,221,241
191,221,241
192,221,241
193,221,241
194,221,241
195,221,241
196,221,241
197,221,241
198,221,241
199,221,241
200,221,241
201,221,241
202,221,241
203,221,241
191,222,241
192,222,241
193,222,241
194,222,241
195,222,241
196,222,241
197,222,241
198,222,241
199,222,241
200,222,241
201,222,241
202,222,241
203,222,241
192,223,241
193,223,241
194,223,241
